地块ID,果树品种,病虫害类型,风险等级,THI_温湿胁迫,BTM_生物威胁动量,PRI_抗药性预警,平均气温,相对湿度,降水量,日照时数,土壤湿度,风速,近7天病株数,近7天虫口密度,近30天用药次数,LWI_光水滋养,风险概率_等级0,风险概率_等级1,风险概率_等级2,预测风险等级,预测风险标签,最大风险概率,风险等级编码,BTM_raw,POSI,POSI_病株,POSI_日照,POSI_降水,POSI_虫口,POSI_湿度,POSI_PRI,POSI_LWI,在防治窗口内
F1,苹果,1,中,1739.4,5.2,1.73,22.3,78,12.5,5.2,32,1.8,2,3.2,2,65.0,0.05663344007535009,0.8880497608914979,0.05531679903315195,1,中,0.8880497608914979,1,5.2,0.44094811982667653,0.18242552380635635,0.8666666666666667,1.0,0.28905049737499605,0.9801986733067553,0.3663003663003663,0.8666666666666667,False
F2,梨,3,高,2058.2,10.8,2.7,25.1,82,18.2,4.1,35,2.1,5,5.8,3,74.62,0.012958718532733726,0.05042461012313366,0.9366166713441326,2,高,0.9366166713441326,2,10.8,0.5930811083343697,0.5,0.6833333333333333,0.9085714285714286,0.598687660112452,0.8968300597468688,0.27027027027027023,0.6833333333333333,True
F3,柑橘,0,低,1287.0,0.5,0.25,19.8,65,3.2,7.3,28,1.2,0,0.5,1,23.36,0.9658613564573703,0.024792512534315695,0.009346131008314043,0,低,0.9658613564573703,0,0.5,0.4057418241012593,0.07585818002124355,1.0,1.0,0.09534946489910949,0.8007374029168081,0.8,1.0,False
F4,桃,3,高,2337.5,15.1,3.02,27.5,85,22.8,3.5,38,2.5,8,7.1,4,79.8,0.009987083016618792,0.021025061958576303,0.968987855024805,2,高,0.968987855024805,2,15.1,0.7535372153451237,0.8175744761936437,0.5833333333333333,0.7771428571428571,0.7407748991821539,0.8007374029168081,0.24875621890547267,0.5833333333333333,True
F5,苹果,1,低,1555.2,3.1,1.03,21.6,72,8.9,6.1,30,1.5,1,2.1,2,54.29,0.9684115106910433,0.022217681802924077,0.00937080750603286,0,低,0.9684115106910433,0,3.1,0.4255951980217213,0.11920292202211755,1.0,1.0,0.19000156601531298,0.9801986733067553,0.4926108374384236,1.0,False
F6,梨,2,中,1911.8,7.3,1.82,24.2,79,15.3,4.8,33,1.9,3,4.3,3,73.44,0.01309983137993964,0.9741048883254468,0.012795280294613444,1,中,0.9741048883254468,1,7.3,0.48340893750660363,0.2689414213699951,0.7999999999999999,0.9914285714285714,0.41338242108267,0.9650691177896804,0.35460992907801414,0.7999999999999999,False
F7,柑橘,0,低,1659.0,0.3,0.15,23.7,70,5.1,6.8,29,1.3,0,0.3,1,34.68,0.9658613564573703,0.024792512534315695,0.009346131008314043,0,低,0.9658613564573703,0,0.3,0.41303426504440277,0.07585818002124355,1.0,1.0,0.08706577244027125,0.9459594689067654,0.8695652173913044,1.0,False
F8,桃,3,高,2224.4,12.5,3.12,26.8,83,19.5,3.9,36,2.2,6,6.5,3,76.05,0.009909277561258156,0.02306049316232518,0.9670302292764168,2,高,0.9670302292764168,2,12.5,0.6572669155310825,0.6224593312018546,0.6499999999999999,0.8714285714285714,0.679178699175393,0.8674284731834108,0.24271844660194175,0.6499999999999999,True
F9,苹果,0,低,1394.0,1.2,0.6,20.5,68,4.2,7.5,27,1.1,0,1.2,1,31.5,0.971064135368376,0.019539389075425823,0.009396475556198127,0,低,0.971064135368376,0,1.2,0.40137584931152376,0.07585818002124355,1.0,1.0,0.13010847436299786,0.8968300597468688,0.625,1.0,False
F10,梨,2,中,1717.5,5.5,1.83,22.9,75,10.1,5.5,31,1.7,2,3.5,2,55.55,0.016004336555499734,0.9711661202369203,0.012829543207579992,1,中,0.9711661202369203,1,5.5,0.44816059770135,0.18242552380635635,0.9166666666666666,1.0,0.320821300824607,1.0,0.35335689045936397,0.9166666666666666,False
